"filename", "language", "JSON", "JavaScript", "JSON with Comments", "TypeScript", "Markdown", "MS SQL", "comment", "blank", "total"
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\.prettierrc", "JSON", 12, 0, 0, 0, 0, 0, 0, 1, 13
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\README.md", "Markdown", 0, 0, 0, 0, 103, 0, 2, 45, 150
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\eslint.config.mjs", "JavaScript", 0, 43, 0, 0, 0, 0, 1, 1, 45
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\nest-cli.json", "JSON", 8, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\notice_2025-04-13_233738.sql", "MS SQL", 0, 0, 0, 0, 0, 271, 45, 29, 345
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\notice_2025-04-13_234807.sql", "MS SQL", 0, 0, 0, 0, 0, 187, 36, 23, 246
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\notice_2025-05-27_201050.sql", "MS SQL", 0, 0, 0, 0, 0, 501, 78, 51, 630
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\noticeyou_tag_2025-01-09_125510.sql", "MS SQL", 0, 0, 0, 0, 0, 813, 256, 73, 1142
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\package-lock.json", "JSON", 14268, 0, 0, 0, 0, 0, 0, 1, 14269
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\package.json", "JSON", 127, 0, 0, 0, 0, 0, 0, 1, 128
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\readMyNote.md", "Markdown", 0, 0, 0, 0, 88, 0, 15, 33, 136
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\scripts\seed.ts", "TypeScript", 0, 0, 0, 344, 0, 0, 364, 71, 779
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\app.module.ts", "TypeScript", 0, 0, 0, 25, 0, 0, 0, 2, 27
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\common\decorators\current-user.decorator.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 0, 2, 9
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\common\decorators\permission.decorator.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 1, 4, 8
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\common\decorators\public.decorator.ts", "TypeScript", 0, 0, 0, 2, 0, 0, 1, 2, 5
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\common\decorators\roles.decorator.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 1, 2, 6
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\common\dto\api-response.dto.ts", "TypeScript", 0, 0, 0, 29, 0, 0, 1, 4, 34
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\common\dto\cache-role-permission.dto.ts", "TypeScript", 0, 0, 0, 4, 0, 0, 0, 0, 4
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\common\dto\current-user.dto.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 0, 1, 9
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\common\dto\paginatedResult.dto.ts", "TypeScript", 0, 0, 0, 41, 0, 0, 0, 6, 47
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\common\dto\role-with-permissions.dto.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 1, 1, 16
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\common\dto\simple-user.dto.ts", "TypeScript", 0, 0, 0, 29, 0, 0, 0, 8, 37
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\common\dto\timestamp.dto.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 1, 2, 16
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\common\filters\http-exception.filter.ts", "TypeScript", 0, 0, 0, 40, 0, 0, 1, 5, 46
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\common\guards\jwt-auth.guard.ts", "TypeScript", 0, 0, 0, 4, 0, 0, 4, 2, 10
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\common\guards\permission.guard.ts", "TypeScript", 0, 0, 0, 40, 0, 0, 7, 11, 58
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\common\guards\roles.guard.ts", "TypeScript", 0, 0, 0, 35, 0, 0, 34, 23, 92
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\common\interceptors\transform.interceptor.ts", "TypeScript", 0, 0, 0, 19, 0, 0, 2, 2, 23
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\common\shared\baseEntity\autoAuditableBase.entity.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 0, 2, 10
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\common\shared\baseEntity\manualAuditable.entity.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 1, 13
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\common\shared\baseInterface\autoAuditableBase.interface.ts", "TypeScript", 0, 0, 0, 4, 0, 0, 0, 3, 7
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\common\shared\baseInterface\manualAuditableBase.interface.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 0, 3, 9
